timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
0,-0.691797,-1.534091,1.151038,-0.011728,0.001518,0.00384,-0.02341,0.999326,-0.02826,0.008121,0.004473,-0.005126,28.241926,37.194016,-0.207703
20,-0.694311,-1.534411,1.148758,-0.015023,-0.021837,0.009156,-0.023276,0.999338,-0.027955,0.007987,0.004461,-0.005431,28.241926,37.194016,-0.207703
40,-0.684277,-1.534443,1.159342,-0.011823,-0.026137,0.000637,-0.022974,0.999339,-0.028163,-0.001013,0.001042,-0.009343,28.264933,37.176552,-0.204677
60,-0.685734,-1.534423,1.158347,-0.016242,-0.019636,0.015376,-0.023028,0.999339,-0.028145,0.005236,-0.002039,-0.00518,28.269051,37.17326,-0.232762
80,-0.673076,-1.534807,1.171408,-0.017315,-0.030322,0.001521,-0.022431,0.999352,-0.028134,0.017807,0.000571,-0.012851,28.269051,37.17326,-0.232762
100,-0.659604,-1.535073,1.185874,-0.021682,-0.05794,0.003639,-0.021886,0.999362,-0.028223,0.004263,-0.008365,-0.004674,28.297512,37.15147,-0.252127
120,-0.649107,-1.535899,1.197726,-0.030278,-0.077037,0.005753,-0.02109,0.999391,-0.027794,0.020663,-0.01378,-0.004982,28.319475,37.134438,-0.292186
140,-0.652591,-1.536699,1.195779,-0.036633,-0.07815,-0.011305,-0.020702,0.999419,-0.027086,0.02296,-0.002135,-0.000884,28.319475,37.134438,-0.292186
160,-0.623145,-1.537522,1.227,-0.034538,-0.098429,-0.028348,-0.019415,0.999446,-0.027016,0.027441,-0.002758,-0.017677,28.364595,37.099701,-0.325906
180,-0.601254,-1.537519,1.251217,-0.026086,-0.131516,-0.051777,-0.018821,0.999446,-0.027437,0.036506,-0.016063,-0.023818,28.398581,37.073036,-0.394105
200,-0.605561,-1.537289,1.250072,-0.012352,-0.173108,-0.070939,-0.01907,0.999439,-0.027544,0.049862,-0.03104,-0.010877,28.42635,37.050808,-0.47398
220,-0.624566,-1.536447,1.234864,-0.006057,-0.207285,-0.1136,-0.020082,0.99941,-0.027859,-0.028701,0.017298,-0.015674,28.411371,37.059841,-0.637661
240,-0.692212,-1.534952,1.171673,-0.014604,-0.228618,-0.137062,-0.022872,0.999358,-0.027588,-0.044816,0.045015,-0.003586,28.411371,37.059841,-0.637661
260,-0.759636,-1.533654,1.107795,-0.04412,-0.139151,-0.12324,-0.025573,0.99931,-0.026925,-0.043183,0.039508,0.034662,28.265062,37.167885,-0.824174
280,-0.875931,-1.534048,0.993076,-0.096049,-0.062373,-0.111592,-0.028222,0.999325,-0.023524,-0.002647,0.025761,0.049922,28.265062,37.167885,-0.824174
300,-0.96381,-1.533942,0.907389,-0.141187,-0.157808,-0.090384,-0.030264,0.999321,-0.021017,0.012122,0.007118,0.002325,28.052401,37.329559,-0.781667
320,-1.065056,-1.534449,0.81077,-0.176798,-0.263871,-0.060637,-0.03179,0.99934,-0.017605,0.013648,0.0071,-0.001087,28.052401,37.329559,-0.781667
340,-1.159453,-1.535625,0.721581,-0.210939,-0.266846,-0.038319,-0.03223,0.999382,-0.01406,0.026478,-0.052024,-0.023507,27.959045,37.399582,-0.779443
