timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
0,-0.149208,0.360039,-2.447044,0.120164,0.040913,0.021341,-0.139124,-0.35231,-0.925485,0.033594,0.001786,-0.009238,-24.557529,-4.962759,-31.665682
20,-0.147457,0.362724,-2.446712,0.139568,0.074667,-0.0255,-0.137364,-0.354823,-0.924788,0.109227,-0.005804,0.036696,-24.591002,-5.058537,-31.624523
40,-0.144733,0.366094,-2.448383,0.107318,-0.030641,-0.067141,-0.134671,-0.357971,-0.92397,0.036999,0.020309,0.060002,-24.53487,-5.206808,-31.644051
60,-0.145729,0.368158,-2.449087,0.101615,-0.101644,-0.018153,-0.135483,-0.359897,-0.923102,0.0654,0.007175,0.061347,-24.53487,-5.206808,-31.644051
80,-0.152357,0.370439,-2.448822,0.121005,-0.597048,0.00307,-0.141474,-0.362024,-0.92137,0.159723,0.041865,0.135467,-24.522463,-5.378778,-31.624897
100,-0.171593,0.372646,-2.446846,0.14583,-1.010234,0.112763,-0.159033,-0.364081,-0.917689,0.056571,0.077918,0.159053,-24.522463,-5.378778,-31.624897
120,-0.198124,0.375636,-2.440183,0.341638,-1.434891,0.416679,-0.183106,-0.366864,-0.912076,0.152284,-0.046496,0.184476,-25.626343,-5.477291,-30.719807
140,-0.231197,0.384878,-2.43156,0.551862,-1.446054,0.214593,-0.21238,-0.375446,-0.902183,0.079918,-0.02554,0.173958,-26.302826,-5.480448,-30.14204
160,-0.259258,0.394283,-2.424883,0.550976,-1.138943,0.173125,-0.236693,-0.384147,-0.892417,-0.005098,0.08422,0.063239,-26.302826,-5.480448,-30.14204
180,-0.279207,0.406354,-2.418774,0.723071,-0.768004,0.04139,-0.253151,-0.395263,-0.882996,0.115013,0.025543,-0.019653,-28.041174,-5.96574,-28.434471
200,-0.298341,0.420629,-2.414666,0.728643,-1.020233,-0.016201,-0.268313,-0.408335,-0.872508,0.156879,0.056055,-0.035512,-28.486393,-6.35894,-27.901716
220,-0.328181,0.432969,-2.408766,0.654763,-1.610511,0.118849,-0.292579,-0.419567,-0.859279,0.164588,0.107174,-0.055149,-28.486393,-6.35894,-27.901716
240,-0.367302,0.445153,-2.399319,0.786226,-1.707279,0.222412,-0.324102,-0.430596,-0.842345,0.009649,0.139779,0.107924,-29.504284,-6.89474,-26.69038
260,-0.401354,0.459247,-2.387622,0.8741,-1.28449,0.214145,-0.350187,-0.443273,-0.825153,0.035734,0.152456,0.090733,-29.504284,-6.89474,-26.69038
280,-0.429822,0.476495,-2.376992,1.069067,-1.127785,-0.026286,-0.37029,-0.458668,-0.80778,0.102682,0.1478,0.271708,-31.655621,-7.728466,-23.845526
300,-0.455575,0.499683,-2.368146,1.278371,-1.061059,-0.163357,-0.386185,-0.479148,-0.788213,0.24501,0.271475,0.436574,-31.655621,-7.728466,-23.845526
320,-0.482157,0.526432,-2.357612,1.48176,-1.098126,-0.212025,-0.40091,-0.502451,-0.766038,0.28592,0.246195,0.420441,-32.377609,-8.690804,-22.507267
340,-0.512454,0.557048,-2.345172,1.674046,-1.274558,-0.291646,-0.416191,-0.528683,-0.739783,0.27491,0.194408,0.416541,-33.046036,-9.894573,-20.987463
