timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
0,0.043897,0.472558,-2.223508,0.254168,0.109502,-0.151647,0.039074,-0.455166,-0.889549,0.045201,0.009411,0.126793,-22.246136,-5.681387,-36.843224
20,0.049479,0.47815,-2.228434,0.316538,0.209867,-0.249542,0.043912,-0.460137,-0.886761,-0.000043,0.027215,0.129589,-22.120882,-5.963704,-36.874008
40,0.05819,0.484981,-2.235121,0.379867,0.316852,-0.289895,0.05145,-0.466191,-0.883187,-0.000547,-0.006526,0.125023,-22.120882,-5.963704,-36.874008
60,0.06802,0.493336,-2.242344,0.458638,0.308084,-0.286563,0.059863,-0.473567,-0.878721,0.021757,0.020152,0.104948,-21.760044,-6.542955,-36.990295
80,0.072251,0.503368,-2.248206,0.567821,-0.050145,-0.184168,0.063235,-0.482378,-0.873678,0.102033,0.029375,0.083684,-21.468599,-7.239612,-37.030785
100,0.061561,0.516192,-2.253017,0.664882,-0.552105,-0.140433,0.053506,-0.493572,-0.868057,0.140418,0.075466,0.207794,-21.468599,-7.239612,-37.030785
120,0.039879,0.529058,-2.254761,0.696688,-1.367131,-0.01804,0.034418,-0.50472,-0.862597,0.135825,0.07047,0.210314,-22.03878,-8.047029,-36.525734
140,0.013591,0.545919,-2.255751,0.917418,-1.310607,-0.044278,0.011615,-0.519204,-0.854572,0.050869,0.111962,0.272571,-23.459276,-8.850124,-35.439098
160,-0.01036,0.566278,-2.25814,1.080621,-1.294534,-0.130297,-0.008743,-0.536495,-0.843858,0.028823,0.105602,0.184679,-23.459276,-8.850124,-35.439098
180,-0.031259,0.58971,-2.263313,1.228541,-1.157656,-0.3218,-0.025975,-0.55612,-0.830696,0.019917,0.053434,0.157173,-24.758835,-9.986094,-34.232586
200,-0.054059,0.615852,-2.27176,1.305305,-1.476208,-0.416576,-0.044106,-0.577655,-0.815089,0.111062,-0.032377,0.075678,-25.914217,-11.482077,-32.881714
220,-0.077994,0.642695,-2.280386,1.325781,-1.436048,-0.455955,-0.06237,-0.599355,-0.79805,0.084281,0.055379,0.171249,-26.754602,-12.557167,-31.79781
