time (ms),  accel x,  accel y,  accel z,  magneto x,  magneto y,  magneto z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1477622568924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1477622569049, -1.0265139, 3.816956, 8.942344, 21.815, 0.807, -87.528, -1.4773777, -0.23976462, 0.5006041, -0.11383927, -0.20678759, 0.0458889, 342.06183, -24.224163, -5.8574014
1477622569151, -0.74998367, 4.0384197, 8.920197, 22.647, 0.205, -87.742, -0.16432275, -0.16462818, -0.055588737, 0.11033261, 0.0014705658, 0.024507523, 339.5549, -24.308794, -5.5239863
1477622569254, -0.45669398, 3.8205473, 8.922591, 21.755, 1.53, -88.151, -0.08399397, -0.08368854, 0.03573562, 0.25114664, -0.17062283, -0.007129669, 338.87955, -24.015646, -4.5322423
1477622569372, -0.14425065, 3.776853, 9.060856, 21.755, 0.967, -89.669, -0.16401732, -0.46609017, -0.0983493, 0.38775587, -0.08508015, 0.062365532, 337.07843, -23.191628, -3.3834882
1477622569483, -0.39444473, 3.9600096, 8.767567, 21.755, 0.344, -92.855, -0.04520403, -0.02107485, -0.093767814, -0.046655238, 0.21812487, -0.2904539, 333.19492, -22.430721, -2.1988344
1477622569586, -0.22266077, 3.9025488, 8.911219, 21.429, -2.397, -93.821, -0.106595986, 0.009162978, 0.018936822, 0.11389147, 0.2635708, -0.18905354, 331.46637, -21.781775, -2.1179848
1477622569690, -0.12868834, 3.7594953, 8.798093, 18.579, 2.88, -90.643, -0.07819075, -0.3051272, -0.019547688, 0.01527904, 0.2965355, -0.37565136, 331.1469, -20.678488, -0.89909273
1477622569797, 0.6428431, 3.3680432, 8.085219, 12.867, 5.923, -92.535, -0.031154128, -0.9593639, -0.10323623, 0.11006677, 0.06663799, -1.1336336, 330.95715, -19.672884, 3.3075612
1477622569900, 1.5699978, 3.103484, 8.884883, -0.512, 14.062, -94.087, -0.7651087, -1.3048081, -0.06566802, 0.053860188, 0.24934101, -0.37392807, 334.4345, -16.920326, 9.299694
1477622570002, 2.7024553, 2.7754784, 8.579621, -20.109, 24.539, -96.199, -0.46792278, -0.70249504, 0.029626964, 0.031201601, 0.4151585, -0.5562248, 342.56815, -13.9270115, 16.298529
1477622570105, 4.56275, 1.9255368, 8.519767, -32.827, 42.459, -93.644, -0.42730024, -1.6881261, 0.1255328, 0.90682197, 0.20049965, -0.4149313, 351.28415, -10.131318, 22.253551
1477622570214, 5.6706667, 1.6729485, 7.8505874, -36.648, 86.37, -81.373, -0.015882496, -1.3326025, 0.2321288, 0.4841175, 0.46971774, -0.38484335, 349.57495, -7.0476866, 32.202103
1477622570317, 6.6121864, 1.9129672, 6.427833, -46.292, 115.463, -56.739, 0.31642818, -1.4682146, 0.2932153, -0.018324375, 0.78784406, -0.7094507, 352.92047, -6.588088, 42.891975
1477622570419, 6.3009405, 1.6448165, 7.5734587, -39.367, 142.379, 15.252, 0.24281894, -1.2400564, 0.43127087, -1.1631527, 0.6864692, 1.2854328, 5.466686, -5.6081367, 49.887985
1477622570521, 7.253833, 2.1039047, 7.495647, -40.451, 143.983, 17.127, 0.5299256, 0.56321776, 0.5674938, -0.23803711, 1.4820588, 1.198379, 12.674359, -3.6356013, 49.951378
1477622570662, 5.602432, 1.5119383, 8.341399, -35.733, 149.104, 29.975, 0.64721173, 3.1083877, 0.72387534, -0.30342007, 0.8127407, 0.54380846, 16.053246, -4.0885615, 37.14009
1477622570765, 3.1950622, 0.89184016, 11.040861, -21.24, 145.526, 31.454, 0.89766645, 5.289788, 0.122783914, 0.96851254, -0.46070176, 1.5865774, 13.511737, -7.9275546, 13.252075
1477622570869, -5.6497173, 0.96067345, 8.950723, 0.88, 143.156, 51.223, 1.8500054, 6.3139033, -0.025961773, -1.103241, -1.444497, 0.6011667, 355.16122, -14.197148, -28.569048
1477622570972, -0.81642276, 9.446322, -9.828796, 1.643, 140.301, 71.713, 2.1209242, 5.119356, 0.9789116, 7.2044587, 5.3201294, -13.677222, 335.19315, -24.882238, -64.36827
1477622571079, -5.7041855, 1.4119805, 0.47345337, -0.474, 146.112, 88.693, 2.1108449, 2.1951442, -2.3118196, 3.623393, -1.5604647, 1.048976, 323.00543, -162.3558, -86.46926
1477622571181, -9.397242, -1.3676877, -4.1162314, 0.119, 158.213, 95.573, 0.9954049, 1.0030408, -2.4914138, -0.03657818, -2.7910638, -1.5623326, 304.06982, -171.65437, -74.739235
1477622571284, -11.8261595, -0.9540894, -4.0521865, 16.921, 173.004, 98.092, -0.3717115, 0.13683382, 0.96486163, -2.6815147, -0.569826, -0.5310757, 334.09113, 177.75435, -68.94099
1477622571386, -8.328231, 4.80636, -3.330933, 17.662, 164.495, 95.822, -0.91629785, -1.5005904, -0.7275405, 0.27466583, 1.9690692, 0.42544317, 292.0954, -163.18257, -66.41195
1477622571489, -8.421604, 2.794632, -3.8301241, 20.866, 171.144, 93.379, -0.25625798, -0.40653083, -1.0491611, 0.20759869, -0.3638668, -0.40505195, 296.6737, -161.2114, -68.35107
1477622571598, -9.789292, 3.8385038, -3.86484, 15.989, 169.993, 88.795, -1.1685852, -0.22968534, -0.4905248, -1.0552015, 0.7330916, -0.6644511, 299.76007, -161.5387, -69.87591
1477622571701, -10.1161, 3.6631286, 0.8230068, 15.286, 163.914, 81.498, -1.1945469, -1.3374895, 0.10567969, -0.8880091, 0.5613582, 2.0027428, 319.98654, -161.56113, -82.71473
1477622571803, -8.042722, 2.0811598, 1.785476, 18.901, 165.428, 76.341, -0.30695978, -1.6410894, -0.7974846, 1.3667707, -0.67136216, 1.5499475, 331.12634, -16.300741, -88.56613
1477622571913, -10.7769, -4.0372224, 6.169858, 22.058, 168.609, 67.614, 1.5152513, -1.1505647, -0.09621128, -1.5349474, -4.0328865, 2.8901227, 337.35495, 0.025333172, -70.46152
1477622572014, -9.61272, -4.404134, 2.4109612, 23.336, 175.152, 71.995, 2.0955732, 0.090713486, -2.1230621, -0.8984575, -1.2059796, -0.75192356, 339.14566, 19.033503, -70.051384
1477622572118, -11.09114, 3.2842462, -0.017956512, 23.075, 195.62, 73.915, 0.30787608, 0.27855456, -4.969694, -1.6139421, 5.0174303, -1.8480326, 338.96115, 10.179676, -79.07053
1477622572233, -11.7782755, 9.09617, 0.079008654, 20.855, 204.31, 75.205, -0.4569272, -0.17959438, 1.0253373, -3.2348833, 4.3187366, -0.5184645, 328.6256, -29.15426, -85.999596
1477622572335, -19.60911, 5.125387, -0.28550854, 22.129, 181.689, 77.828, -2.673757, -0.76174897, 7.3832226, -13.809532, -2.7505627, -0.99593294, 298.23648, -53.429405, -36.366646
1477622572445, -10.505757, -1.5191209, 1.846528, 5.14, 148.095, 73.539, -0.8426886, 0.6914995, 5.917452, -0.9733372, -3.6790009, 1.0476105, 332.568, -12.72351, -85.209206
1477622572548, -13.171103, -8.572439, -0.60932434, -14.631, 140.663, 79.206, 0.7654142, 1.3839152, 3.598607, -3.4971466, -6.976166, -0.41732, 334.35297, 170.63202, -88.86297
1477622572653, -3.843891, -6.1369376, 3.7403417, -38.822, 140.657, 78.285, 0.1600467, -1.1435398, 4.1157045, 4.6917458, -1.6238985, 2.0240188, 339.11514, 27.400135, -78.63073
1477622572756, -13.758879, 19.608511, 3.7134068, -25.381, 141.506, 84.26, 2.6658158, -5.0674324, -5.459608, -5.4270983, 19.007605, -1.4237845, 340.47256, -3.5130236, -58.342937
1477622572860, 0.28790274, 4.63697, -5.1648917, -6.68, 153.129, 91.052, -3.3423493, -3.1483996, -0.7360926, 5.8153887, -2.5560718, -1.43965, 254.11356, -132.82054, -56.022057
1477622572962, 11.057022, 7.203554, -2.1230583, -4.063, 145.169, 72.088, 1.3762794, 0.40958515, -0.013744468, 6.8764453, -1.4680338, -0.25310433, 105.4986, -117.839905, 25.738739
1477622573065, -6.9862804, 19.608511, -18.022354, -18.02, 148.347, 89.979, -0.043066, 5.0002375, 3.232088, -13.979214, 13.425554, -15.015647, 75.82297, -140.914, 66.734055
1477622573174, -11.733384, 12.541427, -2.9400797, -47.882, 143.405, 81.845, -1.0204504, 4.425108, 4.4819183, -7.6210103, 4.313346, 0.45954585, 230.615, -122.962105, -26.555769
1477622573277, -8.915408, -9.254189, 0.09636662, -55.871, 146.429, 75.823, -1.0690142, 1.17897, 0.33078352, -0.14108562, -11.786689, 3.6696186, 285.85297, -165.03415, -67.841896
1477622573387, -6.621763, -5.4049106, 4.0581717, -46.511, 145.095, 68.737, 0.095294975, -0.5671884, -2.4468207, 0.82939005, 0.6203437, 1.9732225, 352.59106, 37.908695, -74.36755
