time(ms), Accel (x), Accel (y), Accel (z)
1478282010455, 0.1939966, 10.1189575, -3.1997461#
1478282010556, -0.46702883, 10.248289, -3.3745828#
1478282010658, -0.45026368, 10.013577, -2.8836036#
1478282010760, -0.8430469, 10.164463, -3.410508#
1478282010862, -0.6562354, 10.123748, -3.558999#
1478282010969, 0.1939966, 9.994417, -3.6188745#
1478282011077, -0.3161426, 10.085427, -3.187771#
1478282011184, -0.44547364, 10.075848, -3.3434474#
1478282011292, -0.5029541, 10.121353, -3.3578174#
1478282011401, -0.19878663, 9.975257, -3.530259#
1478282011505, -0.42870852, 10.068663, -3.396138#
1478282011609, -0.5029541, 9.992022, -3.439248#
1478282011711, -0.2562671, 10.097403, -3.5063088#
1478282011815, -0.32093263, 10.056687, -3.2596216#
1478282011920, -0.51732427, 10.083033, -3.415298#
1478282012022, -0.26345217, 10.066268, -3.530259#
1478282012126, -0.16765137, 10.042317, -3.4464333#
1478282012230, -0.29698244, 10.059082, -3.4296682#
1478282012335, -0.27542725, 10.061478, -3.3937428#
1478282012438, -0.244292, 9.929751, -3.4584084#
1478282012542, -0.21076173, 10.059082, -3.4296682#
1478282012649, -0.5029541, 10.023157, -3.5039136#
1478282012754, -0.23950197, 9.970467, -3.5661843#
1478282012858, -0.27542725, 9.958491, -3.6955154#
1478282012962, -0.3879932, 9.939331, -3.8248463#
1478282013066, -0.33530274, 10.018367, -3.7290456#
1478282013168, -0.49576905, 10.013577, -3.8152664#
1478282013272, -0.24908204, 9.936936, -3.5733693#
1478282013375, -0.31135255, 9.965676, -3.7362306#
1478282013490, -0.1820215, 9.915381, -3.544629#
1478282013595, -0.13891114, 9.944121, -3.7218604#
1478282013703, -0.32572266, 9.999207, -3.7529957#
1478282013806, 0.06227051, 10.032737, -3.6188745#
1478282013912, 0.22273682, 10.054293, -3.657195#
1478282014014, -1.5663428, 10.466236, -4.311035#
1478282014117, 0.6825806, 9.778865, -3.4823585#
1478282014222, 1.8681153, 9.83874, -3.288362#
1478282014327, 3.3745828, 9.630374, -2.6464968#
1478282014431, 0.84544194, 10.298584, -2.4956105#
1478282014534, 1.6908839, 9.867481, -1.9399658#
1478282014638, 0.21315674, 10.459051, -2.1531227#
1478282014742, -1.2094849, 10.866204, -1.8250049#
1478282014847, 0.059875492, 10.897339, -2.335144#
1478282014954, -6.330037, 17.965042, -2.823728#
1478282015058, 8.202942, 6.8761015, -2.7710378#
1478282015163, -0.09580079, 4.653523, -1.6669337#
1478282015269, 4.8091993, 7.4940166, -4.3397756#
1478282015373, -5.010381, 15.383211, -0.39278322#
1478282015476, 2.5842261, 8.866363, -3.2308815#
1478282015581, -18.424887, 24.568111, 4.7301636#
1478282015684, 2.4045997, 10.700948, -2.2656887#
1478282015788, -3.5925295, 10.126143, 0.22273682#
1478282015892, -0.89573735, 10.471025, -1.7962648#
1478282015995, 0.1820215, 10.341695, -1.8800904#
1478282016102, -3.293152, 11.55118, 0.22752686#
1478282016205, -0.8095166, 18.242865, -4.9385304#
1478282016310, 8.119117, 5.7073317, 2.8309133#
1478282016414, 1.094524, 3.290757, -2.44771#
1478282016519, 3.391348, 8.904683, -3.1278956#
1478282016624, -0.06706055, 12.954661, -2.0525317#
1478282016726, 4.543352, 10.609937, -3.288362#
1478282016830, -19.629581, 16.657362, -13.615686#
1478282016934, 0.7927515, 11.864927, 0.9508228#
1478282017038, 0.96040285, 10.126143, -1.2334352#
1478282017142, 0.3065625, 10.734478, -2.4620802#
1478282017246, 0.19160157, 10.839859, -1.2358302#
1478282017350, -1.214275, 11.522439, -0.852627#
1478282017454, -0.81191164, 14.195281, -4.2008643#
1478282017560, -7.656878, 15.778389, 0.5340894#
1478282017665, 6.3970976, 3.4679885, -4.160149#
1478282017769, -1.343606, 5.010381, -0.28261232#
1478282017874, 1.1855347, 12.169095, -2.184258#
1478282017978, 1.7004639, 13.871954, -3.7290456#
1478282018082, 2.1555176, 11.781101, -3.786526#
1478282018188, 3.4727786, 9.77647, -4.380491#
1478282018293, 3.6811452, 9.323812, -2.3303542#
1478282018396, -1.3962965, 9.922566, -1.1376343#
1478282018502, -0.5412744, 10.133328, -1.4992822#
1478282018607, -0.96040285, 11.02667, -1.5783179#
1478282018710, -0.6322852, 11.785892, -1.7675245#
1478282018814, -1.6789087, 19.186502, -5.343289#
1478282018919, 6.5192432, 4.636758, 1.2406201#
1478282019025, 3.7601807, 2.7063723, -2.454895#
1478282019129, 4.3493557, 9.24717, -2.2249732#
1478282019232, -1.3651612, 11.467354, 1.2334352#
1478282019335, 3.6763551, 11.251802, -5.101392#
1478282019440, -12.590618, 25.530909, -6.947952#
1478282019544, 0.74724615, 11.910433, -6.9551373#
1478282019650, -2.8931837, 11.02188, 0.1580713#
1478282019755, -2.5363257, 10.645863, -0.46463382#
1478282019860, -1.1855347, 10.894944, -1.2597803#
1478282019963, -0.10538086, 10.806329, -1.1975098#
1478282020067, 0.8885523, 12.988192, -3.4296682#
1478282020171, -7.788604, 17.294437, -1.3962965#
1478282020275, 11.151212, 2.6536818, -2.8740237#
1478282020380, 1.9663111, 3.535049, 0.76161623#
1478282020485, 8.020921, 12.216995, -3.403323#
1478282020590, 7.1132083, 13.3546295, -4.095484#
1478282020693, 1.4178516, 9.390872, -4.6271777#
1478282020797, -1.5639478, 8.722662, -8.210127#
1478282020901, 1.334026, 10.109378, -1.3747413#
1478282021006, -0.92208254, 10.550061, -1.5160475#
1478282021109, -0.38080812, 10.629097, -1.4130616#
1478282021213, -1.0514137, 10.830278, -1.7339942#
1478282021315, -0.6730005, 10.44468, -1.8274#
1478282021420, 1.5663428, 10.727293, -1.9974464#
1478282021524, 1.1975098, 10.102193, -2.1435425#
1478282021629, -0.25387207, 10.102193, -2.1698878#
1478282021733, 0.5939649, 10.4638405, -2.2920337#
1478282021837, -0.07903565, 10.437495, -2.3423293#
1478282021941, 0.41194338, 10.324929, -2.1531227#
1478282022043, 0.05508545, 10.432706, -2.2561085#
1478282022149, -0.44547364, 10.509346, -2.095642#
1478282022254, -0.85741705, 10.365645, -1.9351759#
1478282022357, -1.0418335, 10.447076, -1.7315992#
1478282022461, -0.5508545, 10.439891, -2.0094216#
1478282022565, -0.98435307, 10.418335, -2.0333717#
1478282022669, -0.852627, 10.514136, -1.9974464#
1478282022772, -1.0346485, 10.418335, -1.829795#
1478282022875, -0.76161623, 10.327325, -1.947151#
1478282022983, -0.7544312, 10.437495, -2.2920337#
1478282023087, -0.48618898, 10.243499, -2.3638844#
1478282023192, -0.69216067, 10.36804, -2.5123756#
1478282023298, -0.9436377, 10.432706, -2.186653#
1478282023403, -0.40954837, 10.32972, -1.9902613#
1478282023512, -0.7807764, 10.3872, -2.0022364#
1478282023614, -0.23710695, 10.36325, -2.1603076#
1478282023718, -0.4742139, 10.413546, -1.9663111#
1478282023825, -0.2682422, 10.37283, -1.8250049#
1478282023928, -0.6682105, 10.483001, -1.6765138#
1478282024035, -0.45984375, 10.490186, -1.8872755#
1478282024139, -0.4382886, 10.37762, -1.5807129#
1478282024243, -0.51971924, 10.564431, -1.8609302#
1478282024346, 0.30177248, 10.41594, -1.7627344#
1478282024450, -0.028740235, 10.475816, -1.9399658#
1478282024556, -0.08861572, 10.44468, -1.9399658#
1478282024660, 0.05269043, 10.37762, -1.8824854#
1478282024763, -0.09101075, 10.356065, -1.8250049#
1478282024866, -0.23950197, 10.566827, -1.8681153#
1478282024970, -0.1460962, 10.502161, -2.0142114#
1478282025075, -0.117355965, 10.35367, -1.9687061#
1478282025181, -0.23471193, 10.389595, -2.0166066#
1478282025285, -0.49337405, 10.365645, -2.189048#
1478282025389, 0.023950197, 10.480606, -2.2561085#
1478282025492, 0.040715333, 10.413546, -2.4501052#
1478282025597, 0.21076173, 10.284214, -2.3950195#
1478282025702, 0.047900394, 10.308165, -2.44292#
1478282025807, 0.16525635, 10.226734, -2.3974147#
1478282025912, 0.46463382, 10.279425, -2.193838#
1478282026015, -0.16765137, 10.432706, -2.5890162#
1478282026122, 0.3520679, 10.312955, -2.3662794#
1478282026225, -0.2562671, 10.413546, -2.4956105#
1478282026330, 0.46702883, 10.293795, -2.3974147#
1478282026434, 0.366438, 10.317744, -2.562671#
1478282026539, 0.28261232, 10.243499, -2.4716604#
1478282026644, 0.040715333, 10.34888, -2.3447242#
1478282026748, 0.2203418, 10.38241, -2.7399025#
1478282026854, -0.20357667, 10.358459, -2.0405567#
1478282026958, -1.4178516, 11.050621, 0.7807764#
