time(ms), Accel (x), Accel (y), Accel (z)
1478281923239, -0.42870852, 9.917776, -3.420088#
1478281923349, -1.2286451, 9.79084, -3.1422658#
1478281923451, -1.4226416, 10.054293, -3.7649708#
1478281923555, -0.9148975, 9.951306, -3.3817677#
1478281923660, -0.32572266, 10.150093, -3.2213013#
1478281923766, -0.49576905, 10.197993, -3.1470559#
1478281923871, 0.45505372, 10.209969, -2.7087672#
1478281923975, 0.16286133, 10.265054, -2.6033864#
1478281924079, 0.244292, 10.27224, -2.5267458#
1478281924185, 0.16525635, 10.33451, -2.6776319#
1478281924287, 0.1939966, 10.154883, -2.9171338#
1478281924391, -0.42152345, 10.169253, -3.1925611#
1478281924496, -0.5029541, 10.116563, -3.2141163#
1478281924598, -0.5508545, 10.056687, -3.3626075#
1478281924700, -0.48618898, 9.975257, -3.2668068#
1478281924802, -1.1496094, 9.975257, -3.539839#
1478281924905, -0.52690434, 10.001602, -3.5709743#
1478281925009, -0.6442603, 9.958491, -3.786526#
1478281925114, -0.9412427, 9.927357, -3.8104763#
1478281925221, -0.5748047, 9.968072, -3.6548#
1478281925324, -0.47181886, 9.81, -3.5853443#
1478281925429, -0.78556645, 9.946517, -3.6931202#
1478281925535, -0.8262818, 9.891431, -3.6548#
1478281925640, -0.62749517, 9.944121, -3.5781593#
1478281925744, -0.57719976, 10.0063925, -3.6212697#
1478281925848, -0.49576905, 9.968072, -3.4608033#
1478281925953, -0.5556446, 9.843531, -3.652405#
1478281926059, -0.6586304, 9.960887, -3.6188745#
1478281926164, -0.6442603, 10.054293, -3.7122805#
1478281926270, -0.49097902, 9.939331, -3.7003052#
1478281926374, -0.5125342, 9.972861, -3.5039136#
1478281926481, -0.51971924, 9.855506, -3.63564#
1478281926586, -0.50774413, 9.941727, -3.6811452#
1478281926691, -0.6011499, 9.922566, -3.5542092#
1478281926795, -0.34488282, 9.905801, -3.661985#
1478281926901, -0.62031007, 9.929751, -3.539839#
1478281927005, -0.86220706, 9.879456, -3.8392165#
