@ HyperIMU - ianovir - 2016
@ Date: Thu Nov 03 16:21:30 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478215290108,-1.3483961,9.060359,-1.2741505,0.0,0.0,0.0#
1478215290209,-1.4465919,9.18011,-1.1543995,0.099069595,-0.070307456,-0.039414786#
1478215290314,-1.336421,9.081915,-1.1208692,0.06391586,0.03195793,-0.07350325#
1478215290420,-1.698069,9.09868,-1.092129,0.05752428,0.051132694,-0.07350325#
1478215290526,-1.3244458,9.125025,-1.3579761,0.15659387,-0.16831179,-0.025566347#
1478215290632,-1.3052857,9.271121,-1.214275,0.18322548,-0.03089267,-0.07137272#
1478215290737,-0.62510014,8.883128,-1.5471827,0.32384038,-0.053263225,0.034088463#
1478215290844,-1.4058765,9.223221,-2.0094216,0.3291667,-0.023435818,-0.02876214#
1478215290951,-1.0849439,9.10347,-1.8465601,0.21411815,-0.27483824,-0.128897#
1478215291057,-1.2717555,8.416099,-1.4250367,0.28868666,-0.22690132,-0.33449304#
1478215291163,-1.6357985,9.802815,-0.7927515,0.37923414,-0.8969527,-0.18748654#
1478215291267,0.6849756,9.908196,-5.53489,0.51026165,0.8479505,0.44208476#
1478215291374,-2.7901978,7.062913,-3.781736,-1.0183928,-0.6061355,1.0524813#
1478215291481,-1.590293,11.577525,-1.8561403,-0.9864349,0.30999196,0.36964676#
1478215291587,-0.68018556,8.878338,-0.44547364,-1.2783173,1.1195929,0.15765914#
1478215291692,-0.60594,6.100115,0.68976563,0.024501082,0.97897804,-0.5539375#
1478215291800,1.0322535,8.499925,-1.0681788,-0.21198763,0.71159667,0.054328486#
1478215291907,0.42152345,12.458892,-3.4727786,-0.80107886,0.22370553,0.09054748#
1478215292013,-2.8883936,3.8631666,-0.27303225,-0.7190535,-0.9917612,0.19920446#
1478215292121,-2.2465284,5.6450615,-2.189048,0.1949434,-1.3390374,0.7520767#
1478215292227,-1.1400293,9.1202345,-0.98195803,0.6135923,-0.5550028,0.20026971#
1478215292334,-0.84065187,8.066426,-0.4406836,0.36218992,-0.72970617,-0.4676511#
1478215292440,1.9567311,9.711804,-2.3255641,0.6487461,-1.2282499,0.128897#
1478215292547,-1.7363893,13.838424,-2.1267774,1.3124058,0.5763081,0.3898868#
1478215292654,-1.0011182,6.964717,-3.5757644,-0.99495703,-1.2506205,0.9619338#
1478215292760,1.5567628,10.336905,-0.488584,-1.2964269,1.3401027,0.33662358#
1478215292865,-0.4981641,6.08814,1.4825171,-0.27803403,1.2197278,-0.34301516#
1478215292969,0.7592212,8.222102,1.5543678,0.5113269,0.87777793,-0.4825648#
1478215293072,-1.0849439,11.491304,3.6380348,0.6870956,0.07137272,-0.37284255#
1478215293174,-4.976851,8.859178,-4.902605,-0.01917476,0.17150758,-0.7669904#
1478215293278,-4.014053,15.687379,-0.977168,0.6849651,0.20240025,-0.33662358#
